שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק שעות עבודה ומנוחה (תיקון - קיצור שבוע העבודה), התשפ""ג-2022",zeevgetner@gmail.com,פ/1/25,1,https://main.knesset.gov.il/activity/legislation/laws/pages/lawbill.aspx?t=lawsuggestionssearch&lawitemid=2195651,,,0,0,אפרת רייטן מרום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אפרת רייטן מרום
"הצעת חוק שלילת זכויות לראש ממשלה לשעבר שכיהן תקופה קצרה, התשפ'ג-2022",,פ\25\2,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195685,,,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעי
"הצעת חוק ביטוח בריאות ממלכתי (תיקון - העברת שירותי הגמילה לאחריות קופות החולים), התשפ'ג-2022",dup_laws_bot,פ\25\3,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195647,"מצויין. המגזר הפרטי (יחסית) יטפל בבעייה הרפואית הזו הרבה יותר טוב מהממשלה. ראה חוק
פ/1405/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158701",,0,0,מיכל מרים וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל מרים וולדיגר
"הצעת חוק קליטת חיילים משוחררים (תיקון - מימון שכר לימוד מלא ללוחמים), התשפג-2022""",ypz1094@gmail.com,פ/4/25,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195688,עיוות תמריצים ברכישת מקצוע כשכר לחיילי חובה,,1,0,יואב קיש,יריב לוין,שלמה קרעי,אופיר כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יואב קישיריב לויןשלמה קרעיאופיר כץ
"הצעת חוק צוותי התערבות במשבר, התשפ""ג-2022",bignafcomp@gmail.com,פ/5/25,-1,https://main.knesset.gov.il/activity/legislation/laws/pages/lawbill.aspx?t=lawsuggestionssearch&lawitemid=2195730&fbclid=iwar0wuqmjn8rqes2e1uic6eekknvjon04ohg5vkbap9akiuwpgw2swj8mpfi,מבירור עם עוסקים בתחו נראה שזה מסיט תפעול על ידי ארגוני החברה האזקחית לעבר התערבות של המדינה. ,,1,0,שמחה רוטמן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שמחה רוטמן
"הצעת חוק בית המשפט לענייני משפחה (תיקון - בני זוג מאותו מין), התשפ'ג-2022",,פ\25\6,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195751,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
הצעת חוק-יסוד: הממשלה (תיקון - אצילת סמכויות לסגן שר),ypz1094@gmail.com,פ/7/25,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195773,,,0,0,יעקב אשר,משה גפני,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפניאורי מקלב
"הצעת חוק הגנת הפרטיות (תיקון - חיזוק הזכות לפרטיות וההגנה עליה), התשפ'ג-2022",,פ\25\8,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195835,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
"הצעת חוק לתיקון פקודת הסמים המסוכנים (הגדרת צמח הקנבוס, מדרוג עבירות ועונשים בסם קנבוס), התשפ'ג-2022",,פ\25\9,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195694,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק כביש אגרה (כביש ארצי לישראל) (תיקון - פטור מאגרה בשל האטה ממהירות הנסיעה המותרת), התשפ'ג-2022",dup_laws_bot,פ\25\10,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195789,"אגרת גודש הפוכה. טמטום ופגיעה בקניין ראה חוק
פ/368/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156361",,0,0,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיבי
"הצעת חוק העונשין (תיקון - הרחבת הגדרת הגזענות), התשפ'ג-2022",,פ\25\11,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195750,,,0,0,יעקב אשר,משה גפני,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפניאורי מקלב
"הצעת חוק הקמת מאגר מידע דיגיטלי בנושא הכשרות מקצועיות, התשפ'ג-2022",,פ\25\12,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195810,,,0,0,ולדימיר בליאק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ולדימיר בליאק
"הצעת חוק השכירות והשאילה (תיקון - הגבלה על העלאת דמי השכירות), התשפ""ג-2022",bignafcomp@gmail.com,פ/13/25,-3,https://main.knesset.gov.il/activity/legislation/laws/pages/lawbill.aspx?t=lawsuggestionssearch&lawitemid=2195963,"פיקוח מחירים על שכירות, הדרל הכי טובה להשמיד עיר. פגיעה אנושה בחופש הקניין",,1,0,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רון כץ
"הצעת חוק הסכמים קיבוציים (תיקון - יציגות ארגון עובדים והגנה על הפרט), התשפ'ג-2022",,פ\25\14,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195842,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הנוער (טיפול והשגחה) (תיקון - ביטול עבירה פלילית על פרסום תחלואה נפשית של קטין), התשפג-2022""",ypz1094@gmail.com,פ/15/25,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195772,,,0,0,מיכל מרים וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל מרים וולדיגר
"הצעת חוק הביטוח הלאומי (תיקון - התפטרות הורה על מנת לטפל בילדו), התשפ'ג-2022",,פ\25\16,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195932,,,0,0,מיכאל מלכיאלי,אוריאל בוסו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכאל מלכיאליאוריאל בוסו
"הצעת חוק שירות לאומי-אזרחי (תיקוני חקיקה), התשפ'ג-2022",,פ\25\17,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196008,,,0,0,מיכל מרים וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל מרים וולדיגר
"הצעת חוק זכויות החולה (תיקון - זכות מטופל לקבל רשומות רפואיות), התשפ'ג-2022",dup_laws_bot,פ\25\18,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195950,"הטלת חובה על מוסדות סמי-ממשלתיים ראה חוק
פ/5/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085578",,0,0,יעקב אשר,משה גפני,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפניאורי מקלב
"הצעת חוק הפיקוח על מעונות יום לפעוטות (תיקון - החמרת ענישה), התשפ'ג-2022",,פ\25\19,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196016,,,0,0,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רון כץ
"הצעת חוק לתיקון פקודת מס הכנסה (מיסוי קרן הון סיכון נסחרת), התשפ'ג-2022",,פ\25\20,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196020,,,0,0,ולדימיר בליאק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ולדימיר בליאק
"הצעת חוק פיקוח על בתי ספר (תיקון - איסור התחזות לגננת), התשפ'ג-2022",dup_laws_bot,פ\25\21,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196017,"גילדה של גננות, פגיעה חמורה בחופש העיסוק בתחום רחב וקריטי ראה חוק
פ/1276/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156265",,0,0,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רון כץ
"הצעת חוק המזונות (הבטחת תשלום) (תיקון - סכום שלא יובא בחשבון במבחן ההכנסה), התשפ'ג-2022",dup_laws_bot,פ\25\22,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195983,"חוק שיוצר גילדה נוספת במדינה. פגיעות אינטרסנטיות כאלה בחופש העיסוק הם מהעוולות החמורות ביותר שיש. ראה חוק
פ/987/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2083362",,0,0,מיכל מרים וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל מרים וולדיגר
"הצעת חוק לתיקון פקודת בתי הסוהר (מתן הודעה בכתב לאסיר ולנפגעי עבירה בדבר מועד שחרור מנהלי והכנת תכנית שיקום), התשפ'ג-2022",,פ\25\23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196027,,,0,0,מיכל מרים וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל מרים וולדיגר
"הצעת חוק לתיקון פקודת בתי הסוהר (תוכניות שיקום בערבית ומידע בשפה הערבית), התשפ'ג-2023",,פ\25\24,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196023,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
"הצעת חוק תמיכה בביטחון תזונתי אצל תינוקות, התשפ'ג-2022",,פ\25\25,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196046,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
"הצעת חוק למניעת אלימות במשפחה (תיקון - מניעת אלימות כלכלית), התשפ'ג-2022",,פ\25\26,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195999,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
"הצעת חוק טיפול בחולי נפש (תיקון - התמכרות פסיכוטית לחומרים פסיכו-אקטיביים), התשפ'ג-2022",,פ\25\27,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196019,,,0,0,מיכל מרים וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל מרים וולדיגר
"הצעת חוק להגדלת שיעור ההשתתפות בכוח העבודה ולצמצום פערים חברתיים (מענק עבודה) (תיקון - גיל העובד), התשפג-2022""",ypz1094@gmail.com,פ/28/25,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195985,עוד הרחבה של קצבאות,,0,0,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רון כץ
"הצעת חוק חניה לנכים (תיקון - החלטה בבקשה לתג נכה), התשפ'ג-2022",dup_laws_bot,פ\25\29,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196033,"זירוז ההליך חיובי, הקמת ועדת ערר עם עוד ג'וזים שלילית ראה חוק
פ/287/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156538",,0,0,מיכאל מלכיאלי,אוריאל בוסו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכאל מלכיאליאוריאל בוסו
"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איחוד סמכויות), התשפ'ג-2022",,פ\25\30,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196013,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק סל הקליטה (תיקון - זכאות יוצאים לשאלה), התשפ'ג-2022",,פ\25\31,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196026,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
"הצעת חוק תאגידי מים וביוב (תיקון - הקמת ועדת הנחות), התשפ'ג-2022",,פ\25\32,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196061,,,0,0,יעקב אשר,משה גפני,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפניאורי מקלב
"הצעת חוק תובענות ייצוגיות (תיקון - תובענה ייצוגית בשל פגיעה בפרטיות), התשפ'ג-2022",,פ\25\33,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196035,,,0,0,גלעד קריב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלעד קריב
"הצעת חוק צירוף משפחות נפגעי טרור כצד להליך המשפטי (תיקוני חקיקה), התשפ'ג-2022",dup_laws_bot,פ\25\34,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195986,"נותן יותר כל לפרט. מאפשר למשפחות נפגעים להיות צד במשפט (גם צבאי) נגד מחבלים. ראה חוק
פ/921/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157409",,0,0,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רון כץ
"הצעת חוק מס ערך מוסף (תיקון - עידוד פתיחת עסקים חדשים), התשפ'ג-2022",,פ\25\35,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196036,,,0,0,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רון כץ
