קישור, שם, מספר
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086198,"הצעת חוק העונשין (תיקון מס' 143 והוראת שעה), התשפ'ב–2022",פ\24\720
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086395,"חוק למניעת אלימות במשפחה (תיקון מס' 18 - הוראת שעה), התשפ'ב-2021",פ\24\1058
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156062,"הצעת חוק-יסוד: הכנסת (תיקון - הרחבת עילות הפסילה בגין הסתה לגזענות כנגד האוכלוסייה החרדית)",פ\24\6
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156225,"הצעת חוק הביטוח הלאומי (תיקון - שלילת קצבה בשל מעשה טרור), התשפ'א-2021",פ\24\202
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156084,"הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון - היעדרות בעקבות תקיפה או התעללות בילד), התשפ'א-2021",פ\24\279
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157486,"הצעת חוק-יסוד: לימוד תורה",פ\24\183
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156154,"הצעת חוק למניעת אלימות במשפחה (תיקון - מניעת אלימות כלכלית) (הוראת שעה), התשפ'א-2021",פ\24\83
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156147,"הצעת חוק זכויות נפגעי עבירה (תיקון - מתן זכות הבעת עמדה לנפגעי או נפגעות עבירה במעמד פסק הדין או גזר הדין), התשפ'א-2021",פ\24\63
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156549,"הצעת חוק הבנקאות (רישוי) (תיקון - הפרדה בין בנקים), התשפ'א-2021",פ\24\140
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156578,"הצעת חוק פיקוח על בתי ספר (תיקון - הרחבת תקפו של רישיון), התשפ'א-2021",פ\24\395
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156113,"הצעת חוק העונשין (תיקון - החמרת ענישה בגין תקיפת סתם), התשפ'א-2021",פ\24\14
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156122,"הצעת חוק הטבות לנפגעי התנכלות אנטישמית וגזענות בתקופת מלחמת העולם השניה, התשפ'א-2021",פ\24\86
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156322,"הצעת חוק הכנסת (תיקון - ועדה לפיקוח על רשויות פיקוח פיננסיות), התשפ'א-2021",פ\24\44
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156536,"הצעת חוק ביטוח בריאות ממלכתי (תיקון - העברת מידע בין קופות החולים בעת מעבר תושב), התשפ'א-2021",פ\24\394
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157007,"הצעת חוק לעידוד הסעות שיתופיות (תיקוני חקיקה), התשפ'א-2021",פ\24\243
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157614,"הצעת חוק-יסוד: הממשלה (תיקון - בחירות ישירות לראשות הממשלה) (הוראת שעה)",פ\24\38
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156497,"הצעת חוק חיזוק מעמד חברי המועצה (תיקוני חקיקה), התשפ'א-2021",פ\24\7
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157372,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאים), התשפ'א-2021",פ\24\267
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156855,"הצעת חוק אסדרת שוק הקנאביס לצריכה עצמית, התשפ'א-2021",פ\24\224
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156483,"הצעת חוק לתיקון פקודת התעבורה (הסעת אזרח ותיק באוטובוס), התשפ'א-2021",פ\24\580
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157484,"הצעת חוק שירות ביטחון (תיקון - הסדר מעמדם של לומדי התורה), התשפ'א-2021 ",פ\24\437
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156531,"הצעת חוק יסודות התקציב (תיקון - תקציב המשטרה), התשפ'א-2021",פ\24\593
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156076,"הצעת חוק-יסוד: הממשלה (תיקון - הגבלת כהונת ראש הממשלה)",פ\24\449
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158009,"הצעת חוק התכנון והבנייה (תיקון - תסקיר תחבורה ציבורית), התשפ'א-2021",פ\24\673
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156101,"הצעת חוק השבות (תיקון - זכויות בני משפחה), התשפ'א-2021",פ\24\693
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158161,"הצעת חוק הקמת ועדת חקירה ממלכתית לאירועי אסון הילולת הרשב'י בהר מירון, התשפ'א-2021",פ\24\743
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157336,"הצעת חוק הנכים (תגמולים ושיקום) (תיקון - הגבלת משך זמן הטיפול בתביעה בשל הפרעה בתר חבלתית בעקבות אירוע לחימה), התשפ'א-2021",פ\24\639
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156537,"הצעת חוק הסכמים קיבוציים (תיקון - סייג לגביית דמי חבר ודמי טיפול מקצועי-ארגוני בארגון עובדים), התשפ'א-2021",פ\24\627
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156573,"הצעת חוק ביטוח בריאות ממלכתי (תיקון - בחירה מבין נותני השירותים), התשפ'א-2021",פ\24\625
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156395,"הצעת חוק-יסוד: הממשלה (תיקון - הגבלת כהונת ראש הממשלה לשתי תקופות כהונה רצופות)",פ\24\526
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156435,"הצעת חוק-יסוד: הממשלה (תיקון - הגבלת מועמד המצוי בחקירה מהרכבת ממשלה)",פ\24\451
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158075,"הצעת חוק מס ערך מוסף (תיקון - עוסק פטור חדש), התשפ'א-2021 ",פ\24\470
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156346,"הצעת חוק לתיקון פקודת מס הכנסה (מס' 260), התשפ״ב-2022",פ\24\419
