קישור, שם, מספר חדש, דירוג, מספר קודם
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156255,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - הפחתת יוקר תשלומי הלוואה לדיור), התשפ'א-2021",פ\24\179,-1,פ/426/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156255,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - הפחתת יוקר תשלומי הלוואה לדיור), התשפ'א-2021",פ\24\179,-1,פ/102/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156255,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - הפחתת יוקר תשלומי הלוואה לדיור), התשפ'א-2021",פ\24\179,-1,פ/102/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156380,"הצעת חוק למניעת העסקה בתחום החינוך והטיפול של אדם שהורשע או שמואשם בתקיפה או בהתעללות בחסר ישע, התשפ'א-2021",פ\24\24,-1,פ/2383/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156380,"הצעת חוק למניעת העסקה בתחום החינוך והטיפול של אדם שהורשע או שמואשם בתקיפה או בהתעללות בחסר ישע, התשפ'א-2021",פ\24\24,-1,פ/2383/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156512,"הצעת חוק מרשם האוכלוסין (תיקון - רישום בת זוג או בן זוג כהורה), התשפ'א-2021",פ\24\124,0,פ/751/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156512,"הצעת חוק מרשם האוכלוסין (תיקון - רישום בת זוג או בן זוג כהורה), התשפ'א-2021",פ\24\124,,פ/349/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156937,"הצעת חוק מס ערך מוסף (תיקון - פטור ממס על תשר), התשפ'א-2021",פ\24\320,2,פ/147/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156937,"הצעת חוק מס ערך מוסף (תיקון - פטור ממס על תשר), התשפ'א-2021",פ\24\320,1,פ/70/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156937,"הצעת חוק מס ערך מוסף (תיקון - פטור ממס על תשר), התשפ'א-2021",פ\24\320,1,פ/70/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157223,"הצעת חוק לתיקון פקודת התעבורה (ביטול קנס בשל רכישת מערכות בטיחות מתקדמות), התשפ'א-2021",פ\24\336,,פ/487/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157223,"הצעת חוק לתיקון פקודת התעבורה (ביטול קנס בשל רכישת מערכות בטיחות מתקדמות), התשפ'א-2021",פ\24\336,,פ/487/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156072,"הצעת חוק התכנון והבנייה (תיקון מס' 116) (תיקון - ביטול החוק), התשפ'א-2021",פ\24\109,1,פ/913/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156072,"הצעת חוק התכנון והבנייה (תיקון מס' 116) (תיקון - ביטול החוק), התשפ'א-2021",פ\24\109,1,פ/79/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156072,"הצעת חוק התכנון והבנייה (תיקון מס' 116) (תיקון - ביטול החוק), התשפ'א-2021",פ\24\109,1,פ/92/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156072,"הצעת חוק התכנון והבנייה (תיקון מס' 116) (תיקון - ביטול החוק), התשפ'א-2021",פ\24\109,1,פ/92/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156089,"הצעת חוק-יסוד: הממשלה (תיקון - סייג להטלת התפקיד להרכיב ממשלה)",פ\24\189,0,פ/172/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156125,"הצעת חוק פיצוי נפגעי אסון טבע (פיצוי לנפגעי שריפה), התשפ'א-2021",פ\24\89,0,פ/2384/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156125,"הצעת חוק פיצוי נפגעי אסון טבע (פיצוי לנפגעי שריפה), התשפ'א-2021",פ\24\89,0,פ/2384/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156191,"הצעת חוק שקיפות הצהרות הון של נבחרי ציבור, התשפ'א-2021",פ\24\87,,פ/867/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156389,"הצעת חוק הוועדה למינוי בכירים (תיקוני חקיקה), התשפ'א-2021",פ\24\70,,פ/790/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156389,"הצעת חוק הוועדה למינוי בכירים (תיקוני חקיקה), התשפ'א-2021",פ\24\70,,פ/790/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156408,"הצעת חוק הגבלת אשראי למקבלי שירות מאמנים, עיתונאים ומרצים, התשפ'א-2021",פ\24\73,,פ/1830/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156408,"הצעת חוק הגבלת אשראי למקבלי שירות מאמנים, עיתונאים ומרצים, התשפ'א-2021",פ\24\73,,פ/1830/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156425,"הצעת חוק הכרה ברצח העם הארמני וציון יום זיכרון, התשפ'א-2021",פ\24\75,-1,פ/39/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156525,"הצעת חוק מעונות יום שיקומיים (תיקון - פעוט עם מוגבלות שטרם מלאו לו שישה חודשים), התשפ'א-2021",פ\24\141,,פ/1499/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156642,"הצעת חוק לתיקון פקודת התעבורה (תשלום קנס בתשלומים), התשפ'א-2021",פ\24\304,,פ/459/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156642,"הצעת חוק לתיקון פקודת התעבורה (תשלום קנס בתשלומים), התשפ'א-2021",פ\24\304,,פ/459/23
