קישור, שם, מספר
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086267,"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה ליישום התכנית הכלכלית לשנים 2009 ו-2010) (תיקון - סיוע לעסקים קטנים ובינוניים בהתמודדות עם נגיף הקורונה) (הוראת שעה), התש'ף-2020",פ\23\155
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086262,"הצעת חוק לפיצוי לנפגעי נגיף הקורונה, התש'ף-2020 ",פ\23\162
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085680,"הצעת חוק למניעת אלימות כלכלית בין בני זוג ובני משפחה, התש'ף-2020",פ\23\25
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086265,"הצעת חוק יסודות התקציב (תיקון - תקציב המוקצה למאבק בנגיף הקורונה) (הוראת שעה), התש'ף-2020",פ\23\161
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085815,"הצעת חוק לאיחוד קווי החירום הטלפוניים, התש'ף-2020",פ\23\111
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085864,"הצעת חוק ירושלים ובנותיה, התש'ף-2020",פ\23\82
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085996,"הצעת חוק הביטוח הלאומי (תיקון - קביעת אחוזי נכות ללקויי שמיעה - דו-צידי וחד-צידי), התש'ף-2020",פ\23\83
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086102,"הצעת חוק הכנסת (תיקון ‎ - הוראות מיוחדות לעניין ראש אופוזיציה מסיעה קטנה), התש'ף-2020",פ\23\143
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085640,"הצעת חוק דיני העבודה (תיקוני חקיקה), התש'ף-2020",פ\23\24
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085607,"הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון - מחלת תינוק), התש'ף-2020",פ\23\22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085699,"הצעת חוק זכות יוצרים (תיקון - התרת ביצוע פומבי של יצירה מוסיקלית בעסק קטן), התש'ף-2020",פ\23\34
